================================================================================
RAPPORT DE TRADING - 2025-03-21 10:12:04
================================================================================

Période analysée: derniers 2 jours
Monnaie de référence: USDC
Environnement: Testnet

================================================================================
SOLDES ACTUELS
================================================================================

Solde USDC: 9921.78

Détail des soldes:
+----------+---------------+---------------+---------------+
|  Actif   |   Disponible  |    En ordre   |     Total     |
+----------+---------------+---------------+---------------+
|PENGU     |22521.00000000 |0.00000000     |22521.00000000 |
|TRY       |18466.00000000 |0.00000000     |18466.00000000 |
|ZAR       |18466.00000000 |0.00000000     |18466.00000000 |
|UAH       |18466.00000000 |0.00000000     |18466.00000000 |
|PLN       |18466.00000000 |0.00000000     |18466.00000000 |
|RON       |18466.00000000 |0.00000000     |18466.00000000 |
|ARS       |18466.00000000 |0.00000000     |18466.00000000 |
|JPY       |18466.00000000 |0.00000000     |18466.00000000 |
|MXN       |18466.00000000 |0.00000000     |18466.00000000 |
|CZK       |18466.00000000 |0.00000000     |18466.00000000 |
|COP       |18466.00000000 |0.00000000     |18466.00000000 |
|XVG       |18446.00000000 |0.00000000     |18446.00000000 |
|ZIL       |18446.00000000 |0.00000000     |18446.00000000 |
|IOTX      |18446.00000000 |0.00000000     |18446.00000000 |
|DATA      |18446.00000000 |0.00000000     |18446.00000000 |
|SC        |18446.00000000 |0.00000000     |18446.00000000 |
|DENT      |18446.00000000 |0.00000000     |18446.00000000 |
|HOT       |18446.00000000 |0.00000000     |18446.00000000 |
|RVN       |18446.00000000 |0.00000000     |18446.00000000 |
|IOST      |18446.00000000 |0.00000000     |18446.00000000 |
|CELR      |18446.00000000 |0.00000000     |18446.00000000 |
|ONE       |18446.00000000 |0.00000000     |18446.00000000 |
|ANKR      |18446.00000000 |0.00000000     |18446.00000000 |
|WIN       |18446.00000000 |0.00000000     |18446.00000000 |
|COS       |18446.00000000 |0.00000000     |18446.00000000 |
|FUN       |18446.00000000 |0.00000000     |18446.00000000 |
|TROY      |18446.00000000 |0.00000000     |18446.00000000 |
|MBL       |18446.00000000 |0.00000000     |18446.00000000 |
|VTHO      |18446.00000000 |0.00000000     |18446.00000000 |
|DGB       |18446.00000000 |0.00000000     |18446.00000000 |
|FIO       |18446.00000000 |0.00000000     |18446.00000000 |
|RSR       |18446.00000000 |0.00000000     |18446.00000000 |
|SUN       |18446.00000000 |0.00000000     |18446.00000000 |
|VIDT      |18446.00000000 |0.00000000     |18446.00000000 |
|SLP       |18446.00000000 |0.00000000     |18446.00000000 |
|CKB       |18446.00000000 |0.00000000     |18446.00000000 |
|POND      |18446.00000000 |0.00000000     |18446.00000000 |
|LINA      |18446.00000000 |0.00000000     |18446.00000000 |
|TLM       |18446.00000000 |0.00000000     |18446.00000000 |
|SHIB      |18446.00000000 |0.00000000     |18446.00000000 |
|QUICK     |18446.00000000 |0.00000000     |18446.00000000 |
|XEC       |18446.00000000 |0.00000000     |18446.00000000 |
|GALA      |18446.00000000 |0.00000000     |18446.00000000 |
|BETA      |18446.00000000 |0.00000000     |18446.00000000 |
|QI        |18446.00000000 |0.00000000     |18446.00000000 |
|JASMY     |18446.00000000 |0.00000000     |18446.00000000 |
|AMP       |18446.00000000 |0.00000000     |18446.00000000 |
|PEOPLE    |18446.00000000 |0.00000000     |18446.00000000 |
|SPELL     |18446.00000000 |0.00000000     |18446.00000000 |
|ACH       |18446.00000000 |0.00000000     |18446.00000000 |
|BTTC      |18446.00000000 |0.00000000     |18446.00000000 |
|T         |18446.00000000 |0.00000000     |18446.00000000 |
|LEVER     |18446.00000000 |0.00000000     |18446.00000000 |
|LUNC      |18446.00000000 |0.00000000     |18446.00000000 |
|USTC      |18446.00000000 |0.00000000     |18446.00000000 |
|QKC       |18446.00000000 |0.00000000     |18446.00000000 |
|PEPE      |18446.00000000 |0.00000000     |18446.00000000 |
|FLOKI     |18446.00000000 |0.00000000     |18446.00000000 |
|IQ        |18446.00000000 |0.00000000     |18446.00000000 |
|MEME      |18446.00000000 |0.00000000     |18446.00000000 |
|BEAMX     |18446.00000000 |0.00000000     |18446.00000000 |
|1000SATS  |18446.00000000 |0.00000000     |18446.00000000 |
|BONK      |18446.00000000 |0.00000000     |18446.00000000 |
|PDA       |18446.00000000 |0.00000000     |18446.00000000 |
|BOME      |18446.00000000 |0.00000000     |18446.00000000 |
|REZ       |18446.00000000 |0.00000000     |18446.00000000 |
|NOT       |18446.00000000 |0.00000000     |18446.00000000 |
|G         |18446.00000000 |0.00000000     |18446.00000000 |
|DOGS      |18446.00000000 |0.00000000     |18446.00000000 |
|NEIRO     |18446.00000000 |0.00000000     |18446.00000000 |
|TURBO     |18446.00000000 |0.00000000     |18446.00000000 |
|1MBABYDOGE|18446.00000000 |0.00000000     |18446.00000000 |
|HMSTR     |18446.00000000 |0.00000000     |18446.00000000 |
|1000CAT   |18446.00000000 |0.00000000     |18446.00000000 |
|ANIME     |18446.00000000 |0.00000000     |18446.00000000 |
|1000CHEEMS|18446.00000000 |0.00000000     |18446.00000000 |
|WAXP      |18313.00000000 |0.00000000     |18313.00000000 |
|RDNT      |18172.00000000 |0.00000000     |18172.00000000 |
|MDT       |18063.00000000 |0.00000000     |18063.00000000 |
|SNT       |18016.00000000 |0.00000000     |18016.00000000 |
|VET       |17310.00000000 |0.00000000     |17310.00000000 |
|REI       |17260.00000000 |0.00000000     |17260.00000000 |
|SKL       |17170.00000000 |0.00000000     |17170.00000000 |
|ARPA      |16152.00000000 |0.00000000     |16152.00000000 |
|IDEX      |16062.00000000 |0.00000000     |16062.00000000 |
|JST       |15374.00000000 |0.00000000     |15374.00000000 |
|VANRY     |14744.00000000 |0.00000000     |14744.00000000 |
|ASTR      |14618.00000000 |0.00000000     |14618.00000000 |
|FLM       |14577.00000000 |0.00000000     |14577.00000000 |
|BSW       |13821.00000000 |0.00000000     |13821.00000000 |
|ROSE      |13719.00000000 |0.00000000     |13719.00000000 |
|ALT       |13075.00000000 |0.00000000     |13075.00000000 |
|ALPHA     |12337.00000000 |0.00000000     |12337.00000000 |
|TRU       |12287.00000000 |0.00000000     |12287.00000000 |
|TFUEL     |12057.00000000 |0.00000000     |12057.00000000 |
|ACA       |11879.00000000 |0.00000000     |11879.00000000 |
|UTK       |11707.00000000 |0.00000000     |11707.00000000 |
|SOLV      |11525.00000000 |0.00000000     |11525.00000000 |
|VIB       |11104.00000000 |0.00000000     |11104.00000000 |
|STRAX     |11029.00000000 |0.00000000     |11029.00000000 |
|RIF       |10902.00000000 |0.00000000     |10902.00000000 |
|PIXEL     |10589.00000000 |0.00000000     |10589.00000000 |
|CHZ       |10293.00000000 |0.00000000     |10293.00000000 |
|RARE      |10049.00000000 |0.00000000     |10049.00000000 |
|TUSD      |10000.00000000 |0.00000000     |10000.00000000 |
|DAI       |10000.00000000 |0.00000000     |10000.00000000 |
|FDUSD     |10000.00000000 |0.00000000     |10000.00000000 |
|USDT      |9999.77073000  |0.00000000     |9999.77073000  |
|USDC      |9921.77530650  |0.00000000     |9921.77530650  |
|NKN       |9690.00000000  |0.00000000     |9690.00000000  |
|AST       |9655.00000000  |0.00000000     |9655.00000000  |
|GMT       |9587.00000000  |0.00000000     |9587.00000000  |
|SYS       |9271.00000000  |0.00000000     |9271.00000000  |
|ATA       |8882.00000000  |0.00000000     |8882.00000000  |
|VELODROME |8156.00000000  |0.00000000     |8156.00000000  |
|ARDR      |7970.00000000  |0.00000000     |7970.00000000  |
|D         |7710.00000000  |0.00000000     |7710.00000000  |
|GPS       |7550.00000000  |0.00000000     |7550.00000000  |
|OGN       |7486.00000000  |0.00000000     |7486.00000000  |
|LTO       |7337.00000000  |0.00000000     |7337.00000000  |
|ALPACA    |7135.00000000  |0.00000000     |7135.00000000  |
|MAV       |7089.00000000  |0.00000000     |7089.00000000  |
|TST       |7033.00000000  |0.00000000     |7033.00000000  |
|DF        |6902.00000000  |0.00000000     |6902.00000000  |
|AERGO     |6887.00000000  |0.00000000     |6887.00000000  |
|C98       |6818.00000000  |0.00000000     |6818.00000000  |
|XAI       |6505.00000000  |0.00000000     |6505.00000000  |
|STPT      |6364.00000000  |0.00000000     |6364.00000000  |
|DODO      |6361.00000000  |0.00000000     |6361.00000000  |
|COTI      |6240.00000000  |0.00000000     |6240.00000000  |
|CTSI      |6105.00000000  |0.00000000     |6105.00000000  |
|OXT       |6074.00000000  |0.00000000     |6074.00000000  |
|AUDIO     |6014.00000000  |0.00000000     |6014.00000000  |
|ZK        |5881.00000000  |0.00000000     |5881.00000000  |
|HFT       |5865.00000000  |0.00000000     |5865.00000000  |
|VOXEL     |5751.00000000  |0.00000000     |5751.00000000  |
|NFP       |5184.00000000  |0.00000000     |5184.00000000  |
|MBOX      |5087.00000000  |0.00000000     |5087.00000000  |
|CETUS     |5054.00000000  |0.00000000     |5054.00000000  |
|WOO       |5032.00000000  |0.00000000     |5032.00000000  |
|CHESS     |5023.00000000  |0.00000000     |5023.00000000  |
|BIO       |5007.00000000  |0.00000000     |5007.00000000  |
|CFX       |4963.00000000  |0.00000000     |4963.00000000  |
|ENJ       |4825.00000000  |0.00000000     |4825.00000000  |
|GLMR      |4812.00000000  |0.00000000     |4812.00000000  |
|CVC       |4707.00000000  |0.00000000     |4707.00000000  |
|GRT       |4616.00000000  |0.00000000     |4616.00000000  |
|W         |4564.00000000  |0.00000000     |4564.00000000  |
|CHR       |4534.00000000  |0.00000000     |4534.00000000  |
|ICX       |4500.00000000  |0.00000000     |4500.00000000  |
|REQ       |4440.00000000  |0.00000000     |4440.00000000  |
|DUSK      |4430.00000000  |0.00000000     |4430.00000000  |
|LRC       |4385.00000000  |0.00000000     |4385.00000000  |
|PORTAL    |4359.00000000  |0.00000000     |4359.00000000  |
|CGPT      |4289.00000000  |0.00000000     |4289.00000000  |
|UFT       |4283.00000000  |0.00000000     |4283.00000000  |
|ADX       |4241.00000000  |0.00000000     |4241.00000000  |
|KAIA      |4224.00000000  |0.00000000     |4224.00000000  |
|BLUR      |4204.00000000  |0.00000000     |4204.00000000  |
|LOKA      |4180.00000000  |0.00000000     |4180.00000000  |
|WAN       |4155.00000000  |0.00000000     |4155.00000000  |
|FIDA      |4118.00000000  |0.00000000     |4118.00000000  |
|PHA       |3761.00000000  |0.00000000     |3761.00000000  |
|AEVO      |3716.00000000  |0.00000000     |3716.00000000  |
|BICO      |3622.00000000  |0.00000000     |3622.00000000  |
|BB        |3614.00000000  |0.00000000     |3614.00000000  |
|BAKE      |3577.00000000  |0.00000000     |3577.00000000  |
|STEEM     |3487.00000000  |0.00000000     |3487.00000000  |
|HARD      |3415.00000000  |0.00000000     |3415.00000000  |
|POLYX     |3368.00000000  |0.00000000     |3368.00000000  |
|CATI      |3325.00000000  |0.00000000     |3325.00000000  |
|CTXC      |3276.00000000  |0.00000000     |3276.00000000  |
|NTRN      |3276.00000000  |0.00000000     |3276.00000000  |
|ONT       |3159.00000000  |0.00000000     |3159.00000000  |
|NULS      |3135.00000000  |0.00000000     |3135.00000000  |
|AIXBT     |3123.00000000  |0.00000000     |3123.00000000  |
|BAT       |3117.00000000  |0.00000000     |3117.00000000  |
|PIVX      |3022.00000000  |0.00000000     |3022.00000000  |
|HOOK      |2896.00000000  |0.00000000     |2896.00000000  |
|KMD       |2864.00000000  |0.00000000     |2864.00000000  |
|COOKIE    |2807.00000000  |0.00000000     |2807.00000000  |
|MAGIC     |2779.00000000  |0.00000000     |2779.00000000  |
|POWR      |2762.00000000  |0.00000000     |2762.00000000  |
|STRK      |2751.00000000  |0.00000000     |2751.00000000  |
|PYTH      |2737.00000000  |0.00000000     |2737.00000000  |
|LISTA     |2704.00000000  |0.00000000     |2704.00000000  |
|FIS       |2661.00000000  |0.00000000     |2661.00000000  |
|EDU       |2659.00000000  |0.00000000     |2659.00000000  |
|COMBO     |2578.00000000  |0.00000000     |2578.00000000  |
|ACT       |2574.00000000  |0.00000000     |2574.00000000  |
|PNUT      |2510.00000000  |0.00000000     |2510.00000000  |
|JOE       |2493.00000000  |0.00000000     |2493.00000000  |
|USUAL     |2484.00000000  |0.00000000     |2484.00000000  |
|DOGE      |2463.00000000  |0.00000000     |2463.00000000  |
|SCRT      |2426.00000000  |0.00000000     |2426.00000000  |
|SXP       |2417.00000000  |0.00000000     |2417.00000000  |
|AI        |2409.00000000  |0.00000000     |2409.00000000  |
|TKO       |2382.00000000  |0.00000000     |2382.00000000  |
|LUNA      |2354.00000000  |0.00000000     |2354.00000000  |
|SLF       |2353.30000000  |0.00000000     |2353.30000000  |
|IOTA      |2289.00000000  |0.00000000     |2289.00000000  |
|YGG       |2260.00000000  |0.00000000     |2260.00000000  |
|BURGER    |2242.00000000  |0.00000000     |2242.00000000  |
|STG       |2211.00000000  |0.00000000     |2211.00000000  |
|SEI       |2157.00000000  |0.00000000     |2157.00000000  |
|ONG       |2147.00000000  |0.00000000     |2147.00000000  |
|1INCH     |2144.00000000  |0.00000000     |2144.00000000  |
|ID        |2074.00000000  |0.00000000     |2074.00000000  |
|TRX       |2059.00000000  |0.00000000     |2059.00000000  |
|ACX       |2041.00000000  |0.00000000     |2041.00000000  |
|ELF       |2029.00000000  |0.00000000     |2029.00000000  |
|ALGO      |2011.00000000  |0.00000000     |2011.00000000  |
|VIC       |2003.00000000  |0.00000000     |2003.00000000  |
|SYN       |1999.00000000  |0.00000000     |1999.00000000  |
|POL       |1976.00000000  |0.00000000     |1976.00000000  |
|HBAR      |1967.00000000  |0.00000000     |1967.00000000  |
|HIVE      |1878.00000000  |0.00000000     |1878.00000000  |
|ZRX       |1780.00000000  |0.00000000     |1780.00000000  |
|MANA      |1753.00000000  |0.00000000     |1753.00000000  |
|OSMO      |1753.00000000  |0.00000000     |1753.00000000  |
|MINA      |1697.00000000  |0.00000000     |1697.00000000  |
|STORJ     |1648.00000000  |0.00000000     |1648.00000000  |
|XLM       |1644.00000000  |0.00000000     |1644.00000000  |
|COW       |1630.00000000  |0.00000000     |1630.00000000  |
|SAND      |1620.00000000  |0.00000000     |1620.00000000  |
|MANTA     |1619.00000000  |0.00000000     |1619.00000000  |
|GLM       |1580.00000000  |0.00000000     |1580.00000000  |
|PUNDIX    |1579.00000000  |0.00000000     |1579.00000000  |
|FLUX      |1554.00000000  |0.00000000     |1554.00000000  |
|PROS      |1502.00000000  |0.00000000     |1502.00000000  |
|ARK       |1432.00000000  |0.00000000     |1432.00000000  |
|DYM       |1417.00000000  |0.00000000     |1417.00000000  |
|SHELL     |1416.00000000  |0.00000000     |1416.00000000  |
|HIFI      |1379.00000000  |0.00000000     |1379.00000000  |
|KNC       |1359.00000000  |0.00000000     |1359.00000000  |
|CTK       |1343.00000000  |0.00000000     |1343.00000000  |
|CELO      |1327.00000000  |0.00000000     |1327.00000000  |
|ENA       |1314.00000000  |0.00000000     |1314.00000000  |
|AXL       |1275.00000000  |0.00000000     |1275.00000000  |
|GTC       |1272.00000000  |0.00000000     |1272.00000000  |
|PERP      |1258.00000000  |0.00000000     |1258.00000000  |
|ARB       |1257.00000000  |0.00000000     |1257.00000000  |
|SAGA      |1216.00000000  |0.00000000     |1216.00000000  |
|MOVE      |1216.00000000  |0.00000000     |1216.00000000  |
|THE       |1170.00000000  |0.00000000     |1170.00000000  |
|KAVA      |1158.00000000  |0.00000000     |1158.00000000  |
|TNSR      |1150.00000000  |0.00000000     |1150.00000000  |
|CRV       |1137.00000000  |0.00000000     |1137.00000000  |
|FLOW      |1116.00000000  |0.00000000     |1116.00000000  |
|BNT       |1106.00000000  |0.00000000     |1106.00000000  |
|DIA       |1106.00000000  |0.00000000     |1106.00000000  |
|LUMIA     |1105.00000000  |0.00000000     |1105.00000000  |
|GHST      |1090.00000000  |0.00000000     |1090.00000000  |
|SCR       |1075.00000000  |0.00000000     |1075.00000000  |
|HEI       |1050.00000000  |0.00000000     |1050.00000000  |
|KDA       |993.00000000   |0.00000000     |993.00000000   |
|EOS       |920.00000000   |0.00000000     |920.00000000   |
|ARKM      |895.00000000   |0.00000000     |895.00000000   |
|APE       |892.00000000   |0.00000000     |892.00000000   |
|S         |865.00000000   |0.00000000     |865.00000000   |
|ALICE     |863.00000000   |0.00000000     |863.00000000   |
|WIF       |855.00000000   |0.00000000     |855.00000000   |
|AVA       |851.00000000   |0.00000000     |851.00000000   |
|SFP       |837.00000000   |0.00000000     |837.00000000   |
|SUPER     |831.00000000   |0.00000000     |831.00000000   |
|LSK       |824.00000000   |0.00000000     |824.00000000   |
|FET       |821.00000000   |0.00000000     |821.00000000   |
|IMX       |788.00000000   |0.00000000     |788.00000000   |
|DYDX      |773.00000000   |0.00000000     |773.00000000   |
|JUP       |772.00000000   |0.00000000     |772.00000000   |
|API3      |749.00000000   |0.00000000     |749.00000000   |
|PHB       |740.00000000   |0.00000000     |740.00000000   |
|STX       |691.00000000   |0.00000000     |691.00000000   |
|SUSHI     |685.00000000   |0.00000000     |685.00000000   |
|HIGH      |663.00000000   |0.00000000     |663.00000000   |
|RAD       |661.00000000   |0.00000000     |661.00000000   |
|XTZ       |655.00000000   |0.00000000     |655.00000000   |
